pgid;idGGST;idPerson;FinderVerlierer
43170;9801;21789;0
43171;9864;21790;0
43178;9871;12418;1
43179;9871;21793;0
43180;9872;21794;1
43181;9873;17279;1
43182;9874;21795;1
43183;9874;21796;0
43184;9875;21797;1
43185;9875;21798;0
43188;9877;21800;1
43189;9878;21801;1
43190;9878;21802;0
43191;9879;21803;1
43192;9879;21804;0
43193;9880;21805;1
43194;9880;21806;0
43195;9881;21807;1
43196;9882;2;1
43197;9882;21808;0
43198;9883;21809;1
43199;9883;21810;0
43200;9884;21811;1
43201;9885;21812;1
43203;9887;21813;1
43204;9887;21814;0
43205;9868;21815;0
43207;9889;21816;1
43208;9889;21817;0
43210;9890;12418;1
43211;9890;21819;0
43214;9892;12418;1
43215;9892;21822;0
43216;9893;12418;1
43217;9893;21823;0
43218;9894;12418;1
