oid;PLZ;Ort
779;1721;Misery
780;1721;Cormérod
781;1721;Corsalettes
782;1721;Courtion
783;1722;Bourguillon
784;1723;Marly
785;1723;Marly 1
786;1723;Marly 2
787;1723;Villarsel-Marly
788;1723;Pierrafortscha
789;1724;Praroman-Le Mouret
790;1724;Essert FR
791;1724;Ferpicloz
792;1724;Montévraz
793;1724;Oberried FR
794;1724;Senèdes
795;1724;Zénauva
796;1725;Posieux
797;1726;Farvagny
798;1726;Farvagny-le-Petit
799;1726;Grenilles
800;1726;Posat
801;1727;Corpataux-Magneden
802;1727;Corpataux
803;1727;Magnedens
804;1728;Rossens FR
805;1729;Bonnefontaine
806;1730;Ecuvillens
807;1731;Ependes FR
808;1732;Arconciel
809;1733;Treyvaux
810;1734;Tentlingen
811;1735;Giffers
812;1736;St. Silvester
813;1737;Plasselb
814;1738;Sangernboden
815;1740;Neyruz FR
816;1741;Cottens FR
817;1742;Autigny
818;1743;Estavayer-Gibloux
819;1743;Villarsel-Gibloux
820;1744;Chénens
821;1745;Lentigny
822;1746;Prez-vers-Noréaz
823;1747;Corserey
824;1748;Torny-le-Grand
825;1749;Middes
826;1752;Villars-sur-Glâne
827;1752;Villars-Glâne 1
828;1752;Villars-Glâne 2
829;1753;Matran
830;1754;Rosé
831;1754;Corjolens
832;1754;Avry-sur-Matran
833;1754;Avry-Centre FR
834;1756;Onnens FR
835;1756;Lovens
836;1757;Noréaz
837;1762;Givisiez
838;1762;Givisiez Base Col.
839;1763;Granges-Paccot
840;1772;Grolley
841;1772;Nierlet-les-Bois
842;1772;Ponthaux
843;1773;Léchelles
844;1773;Chandon
845;1773;Russy
846;1774;Cousset
847;1774;Montagny-les-Monts
848;1775;Mannens-Grandsivaz
849;1775;Mannens
850;1775;Grandsivaz
851;1776;Montagny-la-Ville
852;1782;Belfaux
853;1782;Autafond
854;1782;Lossy-Formangueire
855;1783;Pensier
856;1783;La Corbaz
857;1783;Cormagens
858;1783;Barberêche
859;1784;Courtepin
860;1784;Cournillens
861;1784;Wallenried
862;1785;Cressier FR
863;1786;Sugiez
864;1787;Môtier (Vully)
865;1787;Mur (Vully) FR
866;1787;Mur (Vully) VD
867;1788;Praz (Vully)
868;1789;Lugnorre
869;1791;Courtaman
870;1792;Cordast
871;1792;Guschelmuth
872;1793;Jeuss
873;1794;Salvenach
874;1795;Courlevon
875;1796;Courgevaux
876;1797;Münchenwiler
877;1800;Vevey
878;1800;Vevey 1
879;1800;Vevey 2
880;1800;Vevey 1 Dist
881;1801;Le Mont-Pèlerin
882;1802;Corseaux
883;1803;Chardonne
884;1804;Corsier-sur-Vevey
885;1805;Jongny
886;1806;St-Légier-Chiésaz
887;1806;St-Légier
888;1806;La Chiésaz
889;1806;St-Légier Base Col
890;1807;Blonay
891;1808;Monts-de-Corsier
892;1809;Fenil-sur-Corsier
893;1811;Vevey
894;1812;Rivaz
895;1813;St-Saphorin-Lavaux
896;1814;La Tour-de-Peilz
897;1815;Clarens
898;1816;Chailly-Montreux
899;1817;Brent
900;1818;Montreux Redoute
901;1820;Montreux
902;1820;Montreux 1
903;1820;Montreux 2
904;1820;Montreux 3
905;1820;Territet-Veytaux
906;1820;Veytaux
907;1820;Montreux 1 Dist
908;1822;Chernex
909;1823;Glion
910;1824;Caux
911;1831;Montreux Sorties
912;1831;L'Etivaz
913;1831;La Lécherette
914;1832;Chamby
915;1832;Villard-sur-Chamby
916;1833;Les Avants
917;1835;Montbovon
918;1836;Rossinière
919;1836;La Tine
920;1837;Château-d'Oex
921;1837;Les Moulins
922;1838;Rougemont
923;1839;Flendruz
924;1844;Villeneuve VD
925;1845;Noville
926;1846;Chessel
927;1847;Rennaz
928;1852;Roche VD
929;1853;Yvorne
930;1854;Leysin
931;1854;Leysin 1
932;1854;Leysin 2
933;1856;Corbeyrier
934;1858;Panex
935;1860;Aigle
936;1862;Les Mosses
937;1862;La Comballaz
938;1863;Le Sépey
939;1864;Vers-l'Eglise
940;1865;Les Diablerets
941;1866;La Forclaz VD
942;1867;Ollon VD
943;1867;St-Triphon
944;1868;Collombey
945;1869;Massongex
946;1870;Monthey
947;1870;Monthey 1
948;1870;Monthey 2
949;1870;Monthey Fil Colis
950;1871;Choëx
951;1871;Les Giettes
952;1872;Troistorrents
