pid;Anrede;PLZ;Ort;idPersonenTyp;import
37994;3;3550;Langnau i. E.;1;0
37996;1;3254;Messen;1;0
37997;3;4500;Solothurn;1;0
37998;3;3000;Bern;1;0
38004;1;1701;Fribourg;1;0
38008;3;3006;Bern;1;0
38009;2;3006;Bern;1;0
38015;3;3008;Bern;1;0
38016;3;3008;Bern ;1;0
38019;1;3005;Bern;1;0
38020;1;3097;Liebefeld;1;0
38023;2;3006;Bern;1;0
38024;3;3014;Bern;1;0
38026;1;3011;Bern;1;0
38027;2;3114;Wichtrach;1;0
38028;3;3012;Bern;1;0
38029;1;3011;Bern;1;0
38030;3;3006;Bern;1;0
38031;3;3027;Bern;1;0
38039;3;000;0000;1;0
38041;3;3012;Bern;1;0
38043;2;3177;Laupen BE;1;0
38044;3;3007;Bern;1;0
38045;3;3007;Bern;1;0
38047;2;3013;Bern;1;0
38048;3;3063;Ittigen;1;0
38049;2;3012;Bern;1;0
38050;3;3013;Bern;1;0
38051;3;3123;Belp;1;0
38052;3;3000;Bern;1;0
38053;3;3125;Toffen;1;0
38056;3;3176;Neuenegg;1;0
38057;3;3014;Bern;1;0
38058;2;3007;Bern;1;0
38061;2;3626;Hünibach;1;0
37346;2;0000;Tokyo;1;0
37369;2;3027;Bern;1;0
37379;3;3005;Bern;1;0
37384;3;3097;Liebefeld;1;0
37385;3;3053;Münchenbuchsee;1;0
37386;2;8400;Winterthur;1;0
37388;2;3324;Hindelbank;1;0
37389;2;3380;Wangen an der Aare;1;0
37397;2;3047;Bremgarten b. Bern;1;0
37398;2;3052;Zollikofen;1;0
